Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
56,B. Ojokoh,A review of question answering systems,2019,Journal of Web Engineering,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071101978&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071101978&origin=inward,1,2025-06-19 10:11:55,Review,10.13052/jwe1540-9589.1785,1540-9589,https://api.elsevier.com/content/abstract/scopus_id/85071101978,17.0,8.0,717.0,758.0,56,9.33,56,1,6,,,
47,S.K. Uzaman,A systems overview of commercial data centers: Initial energy and cost analysis,2019,International Journal of Information Technology and Web Engineering,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85056246185&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85056246185&origin=inward,2,2025-06-19 10:11:55,Article,10.4018/IJITWE.2019010103,1554-1045,https://api.elsevier.com/content/abstract/scopus_id/85056246185,14.0,1.0,42.0,65.0,47,7.83,47,1,6,,,
26,S. Mohanty,An approach for load balancing in cloud computing using JAYA algorithm,2019,International Journal of Information Technology and Web Engineering,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85056213777&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85056213777&origin=inward,3,2025-06-19 10:11:55,Article,10.4018/IJITWE.2019010102,1554-1045,https://api.elsevier.com/content/abstract/scopus_id/85056213777,14.0,1.0,27.0,41.0,26,4.33,26,1,6,,,
25,S.M. Tiwari,Secure semantic smart healthcare (S3HC),2019,Journal of Web Engineering,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85070977239&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85070977239&origin=inward,4,2025-06-19 10:11:55,Article,10.13052/jwe1540-9589.1782,1540-9589,https://api.elsevier.com/content/abstract/scopus_id/85070977239,17.0,8.0,617.0,646.0,25,4.17,25,1,6,,,
25,S.K. Sahu,An SVM-based ensemble approach for intrusion detection,2019,International Journal of Information Technology and Web Engineering,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85056238091&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85056238091&origin=inward,5,2025-06-19 10:11:55,Article,10.4018/IJITWE.2019010104,1554-1045,https://api.elsevier.com/content/abstract/scopus_id/85056238091,14.0,1.0,66.0,84.0,25,4.17,25,1,6,,,
16,A. Patel,Data of semantic web as unit of knowledge,2019,Journal of Web Engineering,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071106586&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071106586&origin=inward,6,2025-06-19 10:11:55,Article,10.13052/jwe1540-9589.1783,1540-9589,https://api.elsevier.com/content/abstract/scopus_id/85071106586,17.0,8.0,647.0,674.0,16,2.67,16,1,6,,,
14,M. Buzzi,Design guidelines for web interfaces of home automation systems accessible via screen reader,2019,Journal of Web Engineering,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071253790&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071253790&origin=inward,7,2025-06-19 10:11:55,Review,10.13052/jwe1540-9589.18468,1540-9589,https://api.elsevier.com/content/abstract/scopus_id/85071253790,18.0,4.0,477.0,511.0,14,2.33,14,1,6,,,
13,S.C. Nayak,An improved task scheduling mechanism using multi-criteria decision making in cloud computing,2019,International Journal of Information Technology and Web Engineering,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85070739612&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85070739612&origin=inward,8,2025-06-19 10:11:55,Article,10.4018/IJITWE.2019040106,1554-1045,https://api.elsevier.com/content/abstract/scopus_id/85070739612,14.0,2.0,92.0,117.0,13,2.17,13,1,6,,,
13,P. Jain,A customized quality model for software quality assurance in agile environment,2019,International Journal of Information Technology and Web Engineering,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85065075926&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065075926&origin=inward,9,2025-06-19 10:11:55,Article,10.4018/IJITWE.2019070104,1554-1045,https://api.elsevier.com/content/abstract/scopus_id/85065075926,14.0,3.0,64.0,77.0,13,2.17,13,1,6,,,
11,G.R. Kumar,An evolutionary feature clustering approach for anomaly detection using improved fuzzy membership function: Feature clustering approach for anomaly detection,2019,International Journal of Information Technology and Web Engineering,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071261444&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071261444&origin=inward,10,2025-06-19 10:11:55,Article,10.4018/IJITWE.2019100102,1554-1045,https://api.elsevier.com/content/abstract/scopus_id/85071261444,14.0,4.0,19.0,49.0,11,1.83,11,1,6,,,
