Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"I Aldalur","Introducing Students to Web Engineering Topics by Teaching Web Augmentation",2024,"Journal of Web Engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10488440/","https://scholar.google.com/scholar?cites=4237878558500408415&as_sdt=2005&sciodt=2007&hl=en",1,"2025-06-19 09:24:24","","","","",,,,,3,3.00,3,1,1,"Web augmentation has gained prominence as a promising approach to elevate the user experience by tailoring web content to meet diverse user needs and preferences. It offers the …","https://ieeexplore.ieee.org/iel7/10243554/10488432/10488440.pdf","https://scholar.google.com/scholar?q=related:X0ypgBj4zzoJ:scholar.google.com/&scioq=source:%22web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
1,"MN Gedam, BB Meshram","Proposed Secure Hypertext Model in Web Engineering",2023,"Journal of Web Engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10301471/","https://scholar.google.com/scholar?cites=824893451898528562&as_sdt=2005&sciodt=2007&hl=en",2,"2025-06-19 09:24:24","","","","",,,,,1,0.50,1,2,2,"Secure web application development is one of the prime challenges for the software industry. In the last decade, web applications have rapidly developed but web engineering …","https://journals.riverpublishers.com/index.php/JWE/article/download/21591/18847","https://scholar.google.com/scholar?q=related:MiP1WTmccgsJ:scholar.google.com/&scioq=source:%22web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
10,"G Yongli, D Qi, C Zhipeng","Leveraging the Synergy of IPv6, Generative AI, and Web Engineering to Create a Big Data-driven Education Platform",2024,"Journal of Web Engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10504107/","https://scholar.google.com/scholar?cites=8130094632325154420&as_sdt=2005&sciodt=2007&hl=en",3,"2025-06-19 09:24:24","","","","",,,,,10,10.00,3,3,1,"The rapid advancement of network technology in China has significantly accelerated the implementation of information technology in higher education. Through the utilization of …","https://ieeexplore.ieee.org/iel7/10243554/10504106/10504107.pdf","https://scholar.google.com/scholar?q=related:dAYNNv7l03AJ:scholar.google.com/&scioq=source:%22web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
0,"D Ustalov, N Pavlichenko, B Tseytlin…","Web Engineering with Human-in-the-Loop",2022,"… on Web Engineering","Springer","https://link.springer.com/chapter/10.1007/978-3-031-09917-5_45","",4,"2025-06-19 09:24:24","","10.1007/978-3-031-09917-5_45","","",,,,,0,0.00,0,4,3,"Modern Web applications employ sophisticated Machine Learning models to rank news, posts, products, and other items presented to the users or contributed by them. To keep …","","https://scholar.google.com/scholar?q=related:dYgwyCkAM3gJ:scholar.google.com/&scioq=source:%22web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
153,"K Balasubramaniam, S Vidhya…","Social network user profiling with multilayer semantic modeling using ego network",2022,"… and Web Engineering …","igi-global.com","https://www.igi-global.com/article/social-network-user-profiling-with-multilayer-semantic-modeling-using-ego-network/304049","https://scholar.google.com/scholar?cites=17830338521434343107&as_sdt=2005&sciodt=2007&hl=en",5,"2025-06-19 09:24:24","","","","",,,,,153,51.00,51,3,3,"Social and information networks undermine the real relationship between the individuals (ego) and the friends (alters) they are connected with on social media. The structure of …","https://www.igi-global.com/viewtitle.aspx?titleid=304049","https://scholar.google.com/scholar?q=related:w8YOg2oWcvcJ:scholar.google.com/&scioq=source:%22web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
189,"S Sekar, A Solayappan, J Srimathi, S Raja…","Autonomous transaction model for e-commerce management using blockchain technology",2022,"… and Web Engineering …","igi-global.com","https://www.igi-global.com/article/autonomous-transaction-model-for-e-commerce-management-using-blockchain-technology/304047","https://scholar.google.com/scholar?cites=7206757533201448443&as_sdt=2005&sciodt=2007&hl=en",6,"2025-06-19 09:24:24","HTML","","","",,,,,189,63.00,38,5,3,"A blockchain is an advanced technology that can power over a decentralized network. The authors bring it up to design the autonomous transaction system for e-commerce …","https://www.igi-global.com/article/autonomous-transaction-model-for-e-commerce-management-using-blockchain-technology/304047","https://scholar.google.com/scholar?q=related:-73XHMuLA2QJ:scholar.google.com/&scioq=source:%22web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
62,"L Jovanovic, D Jovanovic, M Antonijevic…","Improving phishing website detection using a hybrid two-level framework for feature selection and xgboost tuning",2023,"… of Web Engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10247501/","https://scholar.google.com/scholar?cites=17833261297797146758&as_sdt=2005&sciodt=2007&hl=en",7,"2025-06-19 09:24:24","","","","",,,,,62,31.00,16,4,2,"In the last few decades, the World Wide Web has become a necessity that offers numerous services to end users. The number of online transactions increases daily, as well as that of …","https://ieeexplore.ieee.org/iel7/10243554/10243555/10247501.pdf","https://scholar.google.com/scholar?q=related:hqjraap4fPcJ:scholar.google.com/&scioq=source:%22web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
143,"DKS Singh, N Nithya, L Rahunathan…","Social network analysis for precise friend suggestion for twitter by associating multiple networks using ml",2022,"… and Web Engineering …","igi-global.com","https://www.igi-global.com/article/social-network-analysis-for-precise-friend-suggestion-for-twitter-by-associating-multiple-networks-using-ml/304050","https://scholar.google.com/scholar?cites=856506031217869548&as_sdt=2005&sciodt=2007&hl=en",8,"2025-06-19 09:24:24","","","","",,,,,143,47.67,36,4,3,"The main aim in this paper is to create a friend suggestion algorithm that can be used to recommend new friends to a user on Twitter when their existing friends and other details are …","https://www.igi-global.com/viewtitle.aspx?titleid=304050","https://scholar.google.com/scholar?q=related:7IK4irLr4gsJ:scholar.google.com/&scioq=source:%22web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
115,"R Rawat, SK Sarangi, YN Rimal, P William…","Malware threat affecting financial organization analysis using machine learning approach",2022,"… and Web Engineering …","igi-global.com","https://www.igi-global.com/article/malware-threat-affecting-financial-organization/304051","https://scholar.google.com/scholar?cites=12025602399624110058&as_sdt=2005&sciodt=2007&hl=en",9,"2025-06-19 09:24:24","HTML","","","",,,,,115,38.33,23,5,3,"Since 2014, Emotet has been using man-in-the-browsers (MITB) attacks to target companies in the finance industry and their clients. Its key aim is to steal victims' online money-lending …","https://www.igi-global.com/article/malware-threat-affecting-financial-organization/304051","https://scholar.google.com/scholar?q=related:6h-uB6uF46YJ:scholar.google.com/&scioq=source:%22web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
116,"F Van Harmelen, A Ten Teije","A boxology of design patterns for hybrid learning and reasoning systems",2019,"Journal of Web Engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10247288/","https://scholar.google.com/scholar?cites=16005756430979930720&as_sdt=2005&sciodt=2007&hl=en",10,"2025-06-19 09:24:24","","","","",,,,,116,19.33,58,2,6,"We propose a set of compositional design patterns to describe a large variety of systems that combine statistical techniques from machine learning with symbolic techniques from …","https://ieeexplore.ieee.org/iel7/10243554/10247223/10247288.pdf","https://scholar.google.com/scholar?q=related:YJr7_aveH94J:scholar.google.com/&scioq=source:%22web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
40,"D Park, G An, C Kamyod, CG Kim","A study on performance improvement of prompt engineering for generative AI with a large language model",2023,"Journal of web engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10452390/","https://scholar.google.com/scholar?cites=17612189011041672913&as_sdt=2005&sciodt=2007&hl=en",11,"2025-06-19 09:24:24","","","","",,,,,40,20.00,10,4,2,"In the realm of Generative AI, where various models are introduced, prompt engineering emerges as a significant technique within natural language processing-based Generative …","https://ieeexplore.ieee.org/iel7/10243554/10452387/10452390.pdf","https://scholar.google.com/scholar?q=related:0V4tmJcQa_QJ:scholar.google.com/&scioq=source:%22web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
72,"R Rawat, B Garg, K Pachlasiya, V Mahor…","SCNTA: Monitoring of network availability and activity for identification of anomalies using machine learning approaches",2022,"… and Web Engineering …","igi-global.com","https://www.igi-global.com/article/scnta/297971","https://scholar.google.com/scholar?cites=3220504549043663451&as_sdt=2005&sciodt=2007&hl=en",12,"2025-06-19 09:24:24","","","","",,,,,72,24.00,14,5,3,"Real-time network inspection applications face a threat of vulnerability as high-speed networks continue to expand. For companies and ISPs, real-time traffic classification is an …","https://www.igi-global.com/viewtitle.aspx?titleid=297971","https://scholar.google.com/scholar?q=related:W_JGC9OHsSwJ:scholar.google.com/&scioq=source:%22web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
40,"R Ollila, N Mäkitalo, T Mikkonen","Modern web frameworks: A comparison of rendering performance",2022,"Journal of Web Engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10243623/","https://scholar.google.com/scholar?cites=9628284592540157965&as_sdt=2005&sciodt=2007&hl=en",13,"2025-06-19 09:24:24","","","","",,,,,40,13.33,13,3,3,"Recent years have seen the rise of a new generation of UI frameworks for web application development. These frameworks differ from previous generations of JavaScript frameworks …","https://ieeexplore.ieee.org/iel7/10243554/10243622/10243623.pdf","https://scholar.google.com/scholar?q=related:DQi59tKJnoUJ:scholar.google.com/&scioq=source:%22web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
28,"KI Roumeliotis, ND Tselikas","An effective SEO techniques and technologies guide-map",2022,"Journal of web engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10246942/","https://scholar.google.com/scholar?cites=6901105945131362557&as_sdt=2005&sciodt=2007&hl=en",14,"2025-06-19 09:24:24","","","","",,,,,28,9.33,14,2,3,"The paper analyzes from a technical point of view the search engine optimization (SEO) techniques and technologies, which lead to effective results up to date. More specifically, it …","https://ieeexplore.ieee.org/iel7/10243554/10246923/10246942.pdf","https://scholar.google.com/scholar?q=related:_SjkIEunxV8J:scholar.google.com/&scioq=source:%22web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
42,"KMK Raghunath, VV Kumar…","XGBoost regression classifier (XRC) model for cyber attack detection and classification using inception V4",2022,"… of Web Engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10246907/","https://scholar.google.com/scholar?cites=7910775885456490046&as_sdt=2005&sciodt=2007&hl=en",15,"2025-06-19 09:24:24","","","","",,,,,42,14.00,14,3,3,"Massive reliance on practical systems has resulted in several security concerns. The ability to identify anomalies is a critical safety feature enabled by anomaly diagnostic techniques …","https://ieeexplore.ieee.org/iel7/10243554/10246863/10246907.pdf","https://scholar.google.com/scholar?q=related:Pj5cNsG4yG0J:scholar.google.com/&scioq=source:%22web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
54,"S Chhabra, AK Singh","Dynamic resource allocation method for load balance scheduling over cloud data center networks",2021,"Journal of Web Engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10246901/","https://scholar.google.com/scholar?cites=11414639178000960599&as_sdt=2005&sciodt=2007&hl=en",16,"2025-06-19 09:24:24","","","","",,,,,54,13.50,27,2,4,"The cloud datacenter has numerous hosts as well as application requests where resources are dynamic. The demands placed on the resource allocation are diverse. These factors …","https://ieeexplore.ieee.org/iel7/10243554/10246893/10246901.pdf","https://scholar.google.com/scholar?q=related:VwwB5NrxaJ4J:scholar.google.com/&scioq=source:%22web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
50,"C Do Xuan","Detecting APT attacks based on network traffic using machine learning",2021,"Journal of Web Engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10246856/","https://scholar.google.com/scholar?cites=17143090166281040646&as_sdt=2005&sciodt=2007&hl=en",17,"2025-06-19 09:24:24","","","","",,,,,50,12.50,50,1,4,"Advanced Persistent Threat (APT) attacks are a form of malicious, intentionally and clearly targeted attack. By using many sophisticated and complicated methods and technologies to …","https://ieeexplore.ieee.org/iel7/10243554/10246855/10246856.pdf","https://scholar.google.com/scholar?q=related:BnOsoa196O0J:scholar.google.com/&scioq=source:%22web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
27,"J Morán, C Augusto, A Bertolino…","Flakyloc: flakiness localization for reliable test suites in web applications",2020,"… of Web Engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10247298/","https://scholar.google.com/scholar?cites=8621711963510838666&as_sdt=2005&sciodt=2007&hl=en",18,"2025-06-19 09:24:24","","","","",,,,,27,5.40,7,4,5,"Web application testing is a great challenge due to the management of complex asynchronous communications, the concurrency between the clients-servers, and the …","https://ieeexplore.ieee.org/iel7/10243554/10247274/10247298.pdf","https://scholar.google.com/scholar?q=related:ipXM3Fl5pncJ:scholar.google.com/&scioq=source:%22web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
24,"M Subramaniam, A Kathirvel, E Sabitha…","Modified firefly algorithm and fuzzy c-mean clustering based semantic information retrieval",2021,"… of Web Engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10246865/","https://scholar.google.com/scholar?cites=9317634525255555062&as_sdt=2005&sciodt=2007&hl=en",19,"2025-06-19 09:24:24","","","","",,,,,24,6.00,6,4,4,"As enormous volume of electronic data increased gradually, searching as well as retrieving essential info from the internet is extremely difficult task. Normally, the Information Retrieval …","https://ieeexplore.ieee.org/iel7/10243554/10246855/10246865.pdf","https://scholar.google.com/scholar?q=related:9tfF2DvjToEJ:scholar.google.com/&scioq=source:%22web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
62,"SK Uzaman, J Shuja, T Maqsood…","A systems overview of commercial data centers: initial energy and cost analysis",2019,"… and Web Engineering …","igi-global.com","https://www.igi-global.com/article/a-systems-overview-of-commercial-data-centers/217694","https://scholar.google.com/scholar?cites=15716453952367929963&as_sdt=2005&sciodt=2007&hl=en",20,"2025-06-19 09:24:24","","","","",,,,,62,10.33,16,4,6,"Data center facilities play a vital role in present and forthcoming information and communication technologies. Internet giants, such as IBM, Microsoft, Google, Yahoo, and …","https://www.researchgate.net/profile/Junaid-Shuja/publication/321714883_A_Systems_Overview_of_Commercial_Data_Centers_Initial_Energy_and_Cost_Analysis/links/5bee4b8aa6fdcc3a8dd9bb72/A-Systems-Overview-of-Commercial-Data-Centers-Initial-Energy-and-Cost-Analysis.pdf","https://scholar.google.com/scholar?q=related:a6qsr5kPHNoJ:scholar.google.com/&scioq=source:%22web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
13,"S Kwon, S Lee, T Kim, D Ryu…","Exploring LLM-based automated repairing of Ansible script in edge-cloud infrastructures",2023,"… of Web Engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10376418/","https://scholar.google.com/scholar?cites=2439924103308499927&as_sdt=2005&sciodt=2007&hl=en",21,"2025-06-19 09:24:24","","","","",,,,,13,6.50,3,5,2,"Edge-Cloud system requires massive infrastructures located in closer to the user to minimize latencies in handling Big data. Ansible is one of the most popular Infrastructure as Code …","https://ieeexplore.ieee.org/iel7/10243554/10376417/10376418.pdf","https://scholar.google.com/scholar?q=related:19udcAta3CEJ:scholar.google.com/&scioq=source:%22web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
30,"H Chen, Y Miao, Y Chen, L Fang…","Intelligent model-based integrity assessment of nonstationary mechanical system",2021,"… of Web Engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10247317/","https://scholar.google.com/scholar?cites=18339556988790898766&as_sdt=2005&sciodt=2007&hl=en",22,"2025-06-19 09:24:24","","","","",,,,,30,7.50,6,5,4,"The fault diagnosis model for nonstationary mechanical system is proposed in the condition monitoring. The algorithm with an improved particle filter and Back Propagation for …","https://ieeexplore.ieee.org/iel7/10243554/10247313/10247317.pdf","https://scholar.google.com/scholar?q=related:TgDqBuoxg_4J:scholar.google.com/&scioq=source:%22web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
23,"D Bermbach, E Wittern","Benchmarking web api quality-revisited",2020,"Journal of Web Engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10247284/","https://scholar.google.com/scholar?cites=2714761496286218974&as_sdt=2005&sciodt=2007&hl=en",23,"2025-06-19 09:24:24","","","","",,,,,23,4.60,12,2,5,"Modern applications increasingly interact with web APIs–reusable components, deployed and operated outside the application, and accessed over the network. Their existence …","https://ieeexplore.ieee.org/iel7/10243554/10247299/10247284.pdf","https://scholar.google.com/scholar?q=related:3koMjDLFrCUJ:scholar.google.com/&scioq=source:%22web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
22,"W Lo, CM Yang, Q Zhang, M Li","Increased productivity and reduced waste with robotic process automation and generative AI-powered IoE services",2024,"Journal of Web Engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10488437/","https://scholar.google.com/scholar?cites=12182909007780029459&as_sdt=2005&sciodt=2007&hl=en",24,"2025-06-19 09:24:24","","","","",,,,,22,22.00,6,4,1,"The convergence of robotic process automation (RPA) and generative AI (GAI) within the context of Internet of Everything (IoE) services represents a profound paradigm shift. This …","https://ieeexplore.ieee.org/iel7/10243554/10488432/10488437.pdf","https://scholar.google.com/scholar?q=related:E6Si2zFjEqkJ:scholar.google.com/&scioq=source:%22web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
29,"E Elbasani, JD Kim","AMR-CNN: Abstract meaning representation with convolution neural network for toxic content detection",2022,"Journal of Web Engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10243627/","https://scholar.google.com/scholar?cites=932671080684126539&as_sdt=2005&sciodt=2007&hl=en",25,"2025-06-19 09:24:24","","","","",,,,,29,9.67,15,2,3,"Recognizing the offensive, abusive, and profanity of multimedia content on the web has been a challenge to keep the web environment for user's freedom of speech. As profanity …","https://ieeexplore.ieee.org/iel7/10243554/10243622/10243627.pdf","https://scholar.google.com/scholar?q=related:SwF1CGiD8QwJ:scholar.google.com/&scioq=source:%22web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
12,"F Di Lauro, S Serbout…","A large-scale empirical assessment of web api size evolution",2022,"Journal of web engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10246943/","https://scholar.google.com/scholar?cites=13021761621859720145&as_sdt=2005&sciodt=2007&hl=en",26,"2025-06-19 09:24:24","","","","",,,,,12,4.00,4,3,3,"Like any other type of software, also Web Application Programming Interfaces (APIs) evolve over time. In the case of widely used API, introducing changes is never a trivial task …","https://ieeexplore.ieee.org/iel7/10243554/10246936/10246943.pdf","https://scholar.google.com/scholar?q=related:0VvD7DOXtrQJ:scholar.google.com/&scioq=source:%22web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
48,"A Patel, NC Debnath, PK Shukla","SecureOnt: a security ontology for establishing data provenance in semantic web",2022,"Journal of Web Engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10246913/","https://scholar.google.com/scholar?cites=9477000225183874309&as_sdt=2005&sciodt=2007&hl=en",27,"2025-06-19 09:24:24","","","","",,,,,48,16.00,16,3,3,"Security becomes a primary concern during sharing of information over the web. To overcome this problem, many security ontologies have been developed so far. The available …","https://ieeexplore.ieee.org/iel7/10243554/10246863/10246913.pdf","https://scholar.google.com/scholar?q=related:Bb1hVn4RhYMJ:scholar.google.com/&scioq=source:%22web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
21,"R Rentero-Trejo, D Flores-Martín…","Using federated learning to achieve proactive context-aware IoT environments",2022,"… of web engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10246009/","https://scholar.google.com/scholar?cites=6418000557684678084&as_sdt=2005&sciodt=2007&hl=en",28,"2025-06-19 09:24:24","","","","",,,,,21,7.00,7,3,3,"The Internet of Things (IoT) is more present in our daily lives than ever before, turning everyday physical objects into smart devices. However, these devices often need excessive …","https://ieeexplore.ieee.org/iel7/10243554/10243628/10246009.pdf","https://scholar.google.com/scholar?q=related:xN0N0YBREVkJ:scholar.google.com/&scioq=source:%22web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
10,"R Alatrash, R Priyadarshini","Fine-grained sentiment-enhanced collaborative filtering-based hybrid recommender system",2023,"Journal of Web Engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10431746/","https://scholar.google.com/scholar?cites=11143734122807032966&as_sdt=2005&sciodt=2007&hl=en",29,"2025-06-19 09:24:24","","","","",,,,,10,5.00,5,2,2,"Developing online educational platforms necessitates the incorporation of new intelligent procedures in order to improve long-term student experience. Presently, e-learning …","https://ieeexplore.ieee.org/iel7/10243554/10431745/10431746.pdf","https://scholar.google.com/scholar?q=related:hvxPhSR_ppoJ:scholar.google.com/&scioq=source:%22web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
