Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
6,"K Nikoletos, E Ioannou, G Papadakis","The Five Generations of Entity Resolution on Web Data",2024,"International Conference on Web …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-62362-2_46","https://scholar.google.com/scholar?cites=31667496372821749&as_sdt=2005&sciodt=2007&hl=en",29,"2025-06-19 13:14:20","","10.1007/978-3-031-62362-2_46","","",,,,,6,6.00,2,3,1,"Entity Resolution constitutes a core data integration task that has attracted a bulk of works on improving its effectiveness and time efficiency. This tutorial provides a comprehensive …","https://raw.githubusercontent.com/AI-team-UoA/pyJedAI/main/docs/presentations/ICWE2024/5gER-Tutorial-Slides.pdf","https://scholar.google.com/scholar?q=related:9V46kGuBcAAJ:scholar.google.com/&scioq=source:%22international+conference+on+web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
3,"MA Qureshi, A Younus, S Caton","Inclusive counterfactual generation: Leveraging llms in identifying online hate",2024,"International Conference on Web …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-62362-2_3","https://scholar.google.com/scholar?cites=6521281494519024779&as_sdt=2005&sciodt=2007&hl=en",46,"2025-06-19 13:14:20","","10.1007/978-3-031-62362-2_3","","",,,,,3,3.00,1,3,1,"Counterfactually augmented data has recently been proposed as a successful solution for socially situated NLP tasks such as hate speech detection. The chief component within the …","https://arrow.tudublin.ie/cgi/viewcontent.cgi?article=1269&context=creaart","https://scholar.google.com/scholar?q=related:i4wi0fc-gFoJ:scholar.google.com/&scioq=source:%22international+conference+on+web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
2,"M Ragab, Y Savateev, H Oliver, T Tiropanis…","Decentralized search over personal online datastores: architecture and performance evaluation",2024,"International conference …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-62362-2_4","https://scholar.google.com/scholar?cites=7279053849175735392&as_sdt=2005&sciodt=2007&hl=en",47,"2025-06-19 13:14:20","","10.1007/978-3-031-62362-2_4","","",,,,,2,2.00,0,5,1,"Data privacy and sovereignty are open challenges in today's Web, which the Solid (https://solidproject. org) ecosystem aims to meet by providing personal online datastores …","https://www.researchgate.net/profile/Mohamed-Ragab-26/publication/381464447_Decentralized_Search_over_Personal_Online_Datastores_Architecture_and_Performance_Evaluation/links/66773c688408575b83826627/Decentralized-Search-over-Personal-Online-Datastores-Architecture-and-Performance-Evaluation.pdf","https://scholar.google.com/scholar?q=related:YDwP5ehkBGUJ:scholar.google.com/&scioq=source:%22international+conference+on+web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
3,"H Hong, S Lee, D Ryu, J Baik","Enhancing software defect prediction in ansible scripts using code-smell-guided prompting with large language models in edge-cloud infrastructures",2024,"International Conference on Web …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-75110-3_3","https://scholar.google.com/scholar?cites=12685149957337640173&as_sdt=2005&sciodt=2007&hl=en",48,"2025-06-19 13:14:20","","10.1007/978-3-031-75110-3_3","","",,,,,3,3.00,1,4,1,"In edge-cloud systems, the quality of infrastructure deployment is crucial for delivering high-quality services, especially when using popular Infrastructure as Code (IaC) tools like …","","https://scholar.google.com/scholar?q=related:7eyraa20CrAJ:scholar.google.com/&scioq=source:%22international+conference+on+web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
3,"P Kotilainen, A Mehraj, T Mikkonen…","The programmable world and its emerging privacy nightmare",2024,"International Conference …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-62362-2_18","https://scholar.google.com/scholar?cites=15338374702654015940&as_sdt=2005&sciodt=2007&hl=en",49,"2025-06-19 13:14:20","","10.1007/978-3-031-62362-2_18","","",,,,,3,3.00,1,4,1,"So-called programmable world refers to a paradigm where we are surrounded by intelligent, programmable devices that communicate with each other to support us in our daily activities …","","https://scholar.google.com/scholar?q=related:xMmHn4ba3NQJ:scholar.google.com/&scioq=source:%22international+conference+on+web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
3,"D Kotkov","Overview of Serendipity in Recommender Systems",2024,"International Conference on Web Engineering","Springer","https://link.springer.com/chapter/10.1007/978-3-031-62362-2_43","https://scholar.google.com/scholar?cites=10251917247890507351&as_sdt=2005&sciodt=2007&hl=en",50,"2025-06-19 13:14:20","","10.1007/978-3-031-62362-2_43","","",,,,,3,3.00,3,1,1,"Has it ever happened to you that services like Spotify, Netflix or YouTube showed you recommendations on the same topic over and over again? This might be caused by the lack …","https://www.researchgate.net/profile/Denis-Kotkov/publication/381467223_Overview_of_Serendipity_in_Recommender_Systems/links/6671882da54c5f0b946de456/Overview-of-Serendipity-in-Recommender-Systems.pdf","https://scholar.google.com/scholar?q=related:V8Y2g2sgRo4J:scholar.google.com/&scioq=source:%22international+conference+on+web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
4,"A García-Fernández, JA Parejo, P Trinidad…","Towards Pricing4SaaS: a framework for pricing-driven feature toggling in SaaS",2024,"International Conference …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-62362-2_30","https://scholar.google.com/scholar?cites=16408943813633302802&as_sdt=2005&sciodt=2007&hl=en",54,"2025-06-19 13:14:20","","10.1007/978-3-031-62362-2_30","","",,,,,4,4.00,1,4,1,"In a rapidly evolving digital marketplace, the ability to enable features and services dynamically on SaaS products in alignment with market conditions and pricing strategies is …","","https://scholar.google.com/scholar?q=related:EuH0znVHuOMJ:scholar.google.com/&scioq=source:%22international+conference+on+web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
1,"C Martella, A Martella, A Longo","EdgER: Entity resolution at the edge for next generation web systems",2024,"International Conference on Web …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-62362-2_13","https://scholar.google.com/scholar?cites=13700193975842885045&as_sdt=2005&sciodt=2007&hl=en",60,"2025-06-19 13:14:20","","10.1007/978-3-031-62362-2_13","","",,,,,1,1.00,0,3,1,"Thanks to the advances of emerging technologies like Edge and Cloud Computing and microservice development, web architectures are evolving to support Big Data platforms …","","https://scholar.google.com/scholar?q=related:tc0PlNXdIL4J:scholar.google.com/&scioq=source:%22international+conference+on+web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
1,"D Danese, T Di Noia, A Lombardi, D Lofù…","Integrating eXplainable AI in Healthcare: A Web Application Framework for Advancing the One Health Paradigm",2024,"International Conference …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-75110-3_7","https://scholar.google.com/scholar?cites=15865225988461815287&as_sdt=2005&sciodt=2007&hl=en",71,"2025-06-19 13:14:20","","10.1007/978-3-031-75110-3_7","","",,,,,1,1.00,0,5,1,"In today's complex world, the intricate connections between human health, socio-economic factors, and environmental conditions necessitate a holistic approach to health challenges …","https://sisinflab.poliba.it/publications/2024/DDLLNSS24/WALS24__LA_Camera_Ready.pdf","https://scholar.google.com/scholar?q=related:9-WPm_qaLNwJ:scholar.google.com/&scioq=source:%22international+conference+on+web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
2,"C Dalamagkas, A Georgakis…","The Open V2X Management Platform",2024,"International Conference …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-62362-2_10","https://scholar.google.com/scholar?cites=17258803480277704647&as_sdt=2005&sciodt=2007&hl=en",75,"2025-06-19 13:14:20","","10.1007/978-3-031-62362-2_10","","",,,,,2,2.00,1,3,1,"In this paper, we present an open-source web-based system, called Open V2X Management Platform (O-V2X-MP), which facilitates the management of charging points for electric …","","https://scholar.google.com/scholar?q=related:x186AlOWg-8J:scholar.google.com/&scioq=source:%22international+conference+on+web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
