Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"I Aldalur","Introducing Students to Web Engineering Topics by Teaching Web Augmentation",2024,"Journal of Web Engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10488440/","https://scholar.google.com/scholar?cites=4237878558500408415&as_sdt=2005&sciodt=2007&hl=en",1,"2025-06-19 12:57:30","","","","",,,,,3,3.00,3,1,1,"Web augmentation has gained prominence as a promising approach to elevate the user experience by tailoring web content to meet diverse user needs and preferences. It offers the …","https://ieeexplore.ieee.org/iel7/10243554/10488432/10488440.pdf","https://scholar.google.com/scholar?q=related:X0ypgBj4zzoJ:scholar.google.com/&scioq=source:%22journal+of+web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
10,"G Yongli, D Qi, C Zhipeng","Leveraging the Synergy of IPv6, Generative AI, and Web Engineering to Create a Big Data-driven Education Platform",2024,"Journal of Web Engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10504107/","https://scholar.google.com/scholar?cites=8130094632325154420&as_sdt=2005&sciodt=2007&hl=en",3,"2025-06-19 12:57:30","","","","",,,,,10,10.00,3,3,1,"The rapid advancement of network technology in China has significantly accelerated the implementation of information technology in higher education. Through the utilization of …","https://ieeexplore.ieee.org/iel7/10243554/10504106/10504107.pdf","https://scholar.google.com/scholar?q=related:dAYNNv7l03AJ:scholar.google.com/&scioq=source:%22journal+of+web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
22,"W Lo, CM Yang, Q Zhang, M Li","Increased productivity and reduced waste with robotic process automation and generative AI-powered IoE services",2024,"Journal of Web Engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10488437/","https://scholar.google.com/scholar?cites=12182909007780029459&as_sdt=2005&sciodt=2007&hl=en",15,"2025-06-19 12:57:30","","","","",,,,,22,22.00,6,4,1,"The convergence of robotic process automation (RPA) and generative AI (GAI) within the context of Internet of Everything (IoE) services represents a profound paradigm shift. This …","https://ieeexplore.ieee.org/iel7/10243554/10488432/10488437.pdf","https://scholar.google.com/scholar?q=related:E6Si2zFjEqkJ:scholar.google.com/&scioq=source:%22journal+of+web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
16,"J Liu","Enhancing English language education through big data analytics and generative AI",2024,"Journal of Web Engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10504108/","https://scholar.google.com/scholar?cites=7624529836246093780&as_sdt=2005&sciodt=2007&hl=en",37,"2025-06-19 12:57:30","","","","",,,,,16,16.00,16,1,1,"This research paper provides a comprehensive examination of the significant impact of big data analytics and generative artificial intelligence (GAI) on the field of English language …","https://ieeexplore.ieee.org/iel7/10243554/10504106/10504108.pdf","https://scholar.google.com/scholar?q=related:1M_QVH3Fz2kJ:scholar.google.com/&scioq=source:%22journal+of+web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
7,"Y Zhang, X Sun, J Yu","Transformative Technologies in the Evaluation of a Vocational Education System",2024,"Journal of Web Engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10504111/","https://scholar.google.com/scholar?cites=13649941218237620292&as_sdt=2005&sciodt=2007&hl=en",80,"2025-06-19 12:57:30","","","","",,,,,7,7.00,2,3,1,"The increasing demand for vocational education has necessitated the presence of highly skilled teachers. This study presents a novel framework for the effective management of …","https://ieeexplore.ieee.org/iel7/10243554/10504106/10504111.pdf","https://scholar.google.com/scholar?q=related:RCAErjdVbr0J:scholar.google.com/&scioq=source:%22journal+of+web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
2,"J Seo","The Future of Digital Authentication: Blockchain-Driven Decentralized Authentication in Web 3.0",2024,"Journal of Web Engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10654714/","https://scholar.google.com/scholar?cites=9644304382127800338&as_sdt=2005&sciodt=2007&hl=en",88,"2025-06-19 12:57:30","","","","",,,,,2,2.00,2,1,1,"This paper presents an innovative Web 3.0 authentication technique, designed for a user-centric internet environment. Addressing the rising demand for authentication techniques …","https://ieeexplore.ieee.org/iel8/10243554/10654699/10654714.pdf","https://scholar.google.com/scholar?q=related:EoB44rxz14UJ:scholar.google.com/&scioq=source:%22journal+of+web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
1,"E Efeoğlu, G Tuna","Classification of Firewall Log Files with Different Algorithms and Performance Analysis of These Algorithms",2024,"Journal of Web Engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10634590/","https://scholar.google.com/scholar?cites=12220021115139263830&as_sdt=2005&sciodt=2007&hl=en",95,"2025-06-19 12:57:30","","","","",,,,,1,1.00,1,2,1,"Classifying firewall log files allows analysing potential threats and deciding on appropriate rules to prevent them. Therefore, in this study, firewall log files are classified using different …","https://ieeexplore.ieee.org/iel8/10243554/10634589/10634590.pdf","https://scholar.google.com/scholar?q=related:Vg2ms3U8lqkJ:scholar.google.com/&scioq=source:%22journal+of+web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
1,"S Setia, N Duhan, A Anand…","Semantically enriched keyword prefetching based on usage and domain knowledge",2024,"… of Web Engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10547277/","https://scholar.google.com/scholar?cites=145429647824722532&as_sdt=2005&sciodt=2007&hl=en",107,"2025-06-19 12:57:30","","","","",,,,,1,1.00,0,4,1,"In intelligent web systems [2], web prefetching [27] plays a crucial role. In order to make accurate predictions for web prefetching, it is important but challenging to uncover valuable …","https://ieeexplore.ieee.org/iel8/10243554/10547276/10547277.pdf","https://scholar.google.com/scholar?q=related:ZBpngn6rBAIJ:scholar.google.com/&scioq=source:%22journal+of+web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
4,"A Tošić","Run-time application migration using checkpoint/restore in userspace",2024,"Journal of Web Engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10654692/","https://scholar.google.com/scholar?cites=11641601974924888608&as_sdt=2005&sciodt=2007&hl=en",109,"2025-06-19 12:57:30","","","","",,,,,4,4.00,4,1,1,"This paper presents an empirical study on the feasibility of using Checkpoint/Restore In Userspace (CRIU) for run-time application migration between hosts, with a particular focus …","https://ieeexplore.ieee.org/iel8/10243554/10654699/10654692.pdf","https://scholar.google.com/scholar?q=related:IEri-1BHj6EJ:scholar.google.com/&scioq=source:%22journal+of+web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
4,"A Kamal, M Abulaish","Contextualized Satire Detection in Short Texts Using Deep Learning Techniques",2024,"Journal of Web Engineering","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10488438/","https://scholar.google.com/scholar?cites=6887645069862342267&as_sdt=2005&sciodt=2007&hl=en",112,"2025-06-19 12:57:30","","","","",,,,,4,4.00,2,2,1,"Satire is prominent in user-generated content on various online platforms in the form of satirical news, customer reviews, blogs, articles, and short messages that are typically of an …","https://ieeexplore.ieee.org/iel7/10243554/10488432/10488438.pdf","https://scholar.google.com/scholar?q=related:e44d4LLUlV8J:scholar.google.com/&scioq=source:%22journal+of+web+engineering%22&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2024"
