Venue,Year,Title,Author,Affiliation,Country,Author Keywords,IEEE Keywords,Volume Number,Issue,Issue Identifier,Citation count,URL,Page number,Abstract
JWE,2019,Special Issue on Advanced Practices in Web Engineering,J. G. Enríquez - | F. J. Domínguez-Mayo | M. J. Escalona,"Computer Languages and Systems, University of Seville, Avenida Reina Mercedes, Sevilla | Computer Languages and Systems, University of Seville, Avenida Reina Mercedes, Sevilla | Computer Languages and Systems, University of Seville, Avenida Reina Mercedes, Sevilla",Sevilla,,,18,4–6,,0,https://ieeexplore.ieee.org/document/10251818/,1-4,"Technological disruption is causing great changes and impact in our society in the way we live, work and how we relate to each other. This is due to the fact that Internet is a great communication tool as a means of influence is reflected in the advances and the continuous adaptation of users, practitioners and researchers to it. As soon as we implement intelligent technologies in our homes, factories or workplaces, the machinery and systems connected to the Internet are interacting, processing information and making decisions autonomously. Increasing new technologies and paradigms such as Artificial Intelligence or the Internet of Things and System of Systems, together with technologies such as Cloud Computing or Big Data, make the Fourth Industrial Revolution that we are living developing towards the optimization of processes and resources through the collection, use, and an intelligent analysis of processing of data."
JWE,2019,Discovery and Analysis About the Evolution of Service Composition Patterns,Zhenfeng Gao | Yushun Fan | Xiu Li | Liang Gu | Cheng Wu | Jia Zhang,"Graduate School at Shenzhen, Tsinghua University, Shenzhen, China | Tsinghua National Laboratory for Information Science and Technology, Beijing, China | Graduate School at Shenzhen, Tsinghua University, Shenzhen, China | Sangfor Technologies Inc., Shenzhen, China | Tsinghua National Laboratory for Information Science and Technology, Beijing, China | Department of Electrical and Computer Engineering, Carnegie Mellon University, Silicon Valley, California, USA",China | USA,Topic evolution graph | service composition recommendation | topic model,Mashups | Ecosystems | Market research | Stability analysis | Data models,18,7,,9,https://ieeexplore.ieee.org/document/10251866/,579-625,"Service ecosystems, consisting of various kinds of services and mashups, usually keep evolving over time. Existing works on the evolution of service ecosystems focus on either evaluating the impacts of single services' changes on the usage of services and the stability of the whole ecosystem, or discovering co-occurrence relationship between services, but fail to disclose any knowledge from the aspect of the evolution of service composition patterns. Based on our previous work, this paper moves one step further, revealing the latent service composition trends in a service ecosystem and providing more distinct explanation of different topic evolution patterns. A novel methodology, named Extended Dependency-Compensated Service Co-occurrence LDA (EDC-SeCo-LDA), is developed to calculate the directed dependencies between different topics and build topic evolution graph. The evolution trend of service composition could be disclosed by the graph intuitively. What's more, EDC-SeCo-LDA proposes five different ways to adopt dependency compensation to improve the performance when making service recommendation. Experiments on ProgrammableWeb.com show that EDC-SeCo-LDA can reveal significant topic dependencies, and recommend service compo-sition more effectively, i.e., 6% better in terms of Mean Average Precision compared with baseline approaches."
JWE,2019,Model Driven Development of Gamified Applications,Piero Fraternali | Sergio Luis Herrera Gonzalez,"Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Milan, Italy | Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Milan, Italy",Italy,Model Driven Engineering | gamification | rapid prototyping | code generation | IFML,Games | Data models | Business,18,7,,8,https://ieeexplore.ieee.org/document/10251861/,655-694,"Gamification is defined as the injection of game elements in applications with non-gaming purposes. This technique has shown outstanding results in promoting the engagement and activity on communities of users, in both business and non-for-profits fields. Often, gamification features are added late in the application life-cycle and must be weaved into the existing functions. In this paper, we present a model-driven approach to the design of gamified applications, which accelerates the introduction of gamification elements in pre-existing or new applications. The approach relies on a data model of gamification features and on design patterns for the front-end, which encode the essential elements of gamification in a platform independent way."
JWE,2019,Privacy-Preserving Reengineering of Model-View-Controller Application Architectures Using Linked Data,Juan Manuel Dodero | Mercedes Rodriguez-Garcia | Iván Ruiz-Rube | Manuel Palomo-Duarte,"School of Engineering, University of Cadiz, Puerto Real, Cádiz, Spain | School of Engineering, University of Cadiz, Puerto Real, Cádiz, Spain | School of Engineering, University of Cadiz, Puerto Real, Cádiz, Spain | School of Engineering, University of Cadiz, Puerto Real, Cádiz, Spain",Spain,Privacy by design | Web of data | Software architecture | Model View-Controller,Data privacy | Privacy | Adaptation models | Linked data | Source coding | Computer architecture | Data models,18,7,,0,https://ieeexplore.ieee.org/document/10251874/,695-727,"When a legacy system's software architecture cannot be redesigned, implementing additional privacy requirements is often complex, unreliable and costly to maintain. This paper presents a privacy-by-design approach to reengineer web applications as linked data-enabled and implement access control and privacy preservation properties. The method is based on the knowledge of the application architecture, which for the Web of data is commonly designed on the basis of a model-view-controller pattern. Whereas wrapping techniques commonly used to link data of web applications duplicate the security source code, the new approach allows for the controlled disclosure of an application's data, while preserving non-functional properties such as privacy preservation. The solution has been implemented and compared with existing linked data frameworks in terms of reliability, maintainability and complexity."
JWE,2019,A Semantic Web Approach to Enable a Smart Route to Historical Archives,Annamaria Goy | Diego Magro | Alessandro Baldo,"Dipartimento di Informatica, Università di Torino, Turin, Italy | Dipartimento di Informatica, Università di Torino, Turin, Italy | Dipartimento di Informatica, Università di Torino, Turin, Italy",Italy,Semantic Web | Intelligent Web applications | Ontology-driven Web applications | Digital Humanities | Web-based access to historical archives,Semantics | OWL | Collaboration | Ontologies | Resource description framework | Cultural differences | Standards,18,4–6,,5,https://ieeexplore.ieee.org/document/10251822/,287-318,"In this paper we show that an ontology-based approach can be beneficial for enhancing the access to cultural resources, and in particular historical documents. The paper starts with an overview of our approach, aimed at providing online archival systems with a semantic layer based on Semantic Web standards (OWL 2 and RDF). Two projects are introduced, namely Harlock900 and PRiSMHA, carried out in collaboration with local cultural institutions owning rich historical archives. In particular, the paper describes the computational ontologies supporting the approach, and then focuses on two case studies showing that our framework provides better results if compared with standard access systems. The case studies show the enhancement provided by a semantically rich representation of time intervals and a detailed formal description of events and their participants."
JWE,2019,A Boxology of Design Patterns for Hybrid Learning and Reasoning Systems,Frank van Harmelen | Annette ten Teije,"Department of Computer Science, Vrije Universiteit, Amsterdam, Netherlands | Department of Computer Science, Vrije Universiteit, Amsterdam, Netherlands",Netherlands,Hybrid systems | neurosymbolic systems | knowledge representation | machine learning | design patters,Computer science | Machine learning | Ontologies | Software | Cognition | Hybrid learning | Data mining,18,1-3,,115,https://ieeexplore.ieee.org/document/10247288/,97-123,"We propose a set of compositional design patterns to describe a large variety of systems that combine statistical techniques from machine learning with symbolic techniques from knowledge representation. As in other areas of computer science (knowledge engineering, software engineering, ontology engineering, process mining and others), such design patterns help to systematize the literature, clarify which combinations of techniques serve which purposes, and encourage re-use of software components. We have validated our set of compositional design patterns against a large body of recent literature."
JWE,2019,Towards Improving Productivity in NMap Security Audits,Jose Manuel Redondo | Daniel Cuesta,"Department of Computer Science, Computational Reflection Research Group, University of Oviedo, Science Faculty, Oviedo, Spain | Computer Network Attack (CNA), S2Grupo, Valencia, Spain",Spain,nmap | web GUI | advanced features | productivity | Domain Specific Language | static type checking,Productivity | Runtime | Feature extraction | Complexity theory | Security | DSL | Task analysis,18,7,,13,https://ieeexplore.ieee.org/document/10251826/,539-577,"Maintaining an adequate security level in computer infrastructures, like Internet-facing web servers, requires periodic assessment of their vulnerabilities with specialized security tools. nmap is arguably the most popular one, due to its versatility, powerful features, and low resource usage. However, this versatility can turn its usage difficult and error-prone, as it implements a lot of features and reports errors at runtime. This can lead to suboptimal results while designing auditing tasks. This research aims to decrease this complexity by developing a web GUI that favors experimentation, on-demand scans, and provides solutions to several shortcomings detected in the official one. We complemented it with a Domain Specific Language that implements early detection and reporting of syntax, type, and semantic errors when creating audit tasks. Both expand nmap possibilities, creating robust, schedulable, distributable, and portable auditing tasks able to find anomalies analyzing their output. Our initial release shows that the web GUI has been well received by several security related media and professionals. The language can detect and report a wide range of potential errors, substantially increasing the robustness of the created tasks. Therefore, Domain Specific Languages with early detection of type errors turned to be suitable to lower the complexity and expand the usage possibilities of complex tools like nmap."
JWE,2019,On Twitter Bots Behaving Badly: A Manual and Automated Analysis of Python Code Patterns on GitHub,Andrea Millimaggi | Florian Daniel,"Politecnico di Milano, Milan, Italy | Politecnico di Milano, Milan, Italy",Italy,Bots | Harm | Abuse | Code patterns | Pattern recognition | GitHub | Twitter | Python,Codes | Social networking (online) | Blogs | Taxonomy | Oral communication | Manuals | Chatbots,18,8,,11,https://ieeexplore.ieee.org/document/10247296/,801-835,"Bots, i.e., algorithmically driven entities that behave like humans in online communications, are increasingly infiltrating social conversations on the Web. If not properly prevented, this presence of bots may cause harm to the humans they interact with. This article aims to understand which types of abuse may lead to harm and whether these can be considered intentional or not. We manually review a dataset of 60 Twitter bot code repositories on GitHub, derive a set of potentially abusive actions, characterize them using a taxonomy of abstract code patterns, and assess the potential abusiveness of the patterns. The article then describes the design and implementation of a code pattern recognizer and uses the pattern recognizer to automatically analyze a dataset of 786 Python bot code repositories. The study does not only reveal the existence of 28 communication-specific code patterns - which could be used to assess the harmfulness of bot code - but also their consistent presence throughout all studied repositories."
JWE,2019,Citation Count Prediction Using Abstracts,Takahiro Baba | Kensuke Baba | Daisuke Ikeda,"Kyushu University, Fukuoka, Japan | Fujitsu Laboratories, Kawasaki, Japan | Kyushu University, Fukuoka, Japan",Japan,Citation count prediction | Document classification | Text analysis | Machine learning,Support vector machines | Vocabulary | Machine learning | Writing | Market research | Feature extraction | Planning,18,1-3,,8,https://ieeexplore.ieee.org/document/10247226/,207-228,"Researchers are expected to find previous literature that is related to their research and potentially has a scientific impact from among a large number of publications. This paper addresses the problem of predicting the citation count of each research paper, that is, the number of citations from other papers to that paper. Previous literature related to the problem claims that the textual data of papers do not deeply affect the prediction compared with data about the authors and venues of publication. In contrast, the authors of this paper detected the citation counts of papers using only the paper abstracts. Additionally, they investigated the effect of technical terms used in the abstracts on the detection. They classified abstracts of papers with high and low citation counts and applied the classification to the abstracts modified by hiding the technical terms used in them. The results of their experiments indicate that the high and low of citation counts of research papers can be detected using their abstracts, and the effective features used in the prediction are related to the trend of research topics."
JWE,2019,Multi-Device Complementary View Adaptation with Liquid Media Queries,Andrea Gallidabino | Cesare Pautasso,"Faculty of Informatics, Software Institute, Università della Svizzera italiana, Lugano, Switzerland | Faculty of Informatics, Software Institute, Università della Svizzera italiana, Lugano, Switzerland",Switzerland,Liquid software | CSS media queries | multi-device adaptation | responsive user interface | complementary view adaptation,Liquids | Heuristic algorithms | Media | User interfaces | Feature extraction | Software | Complexity theory,18,8,,4,https://ieeexplore.ieee.org/document/10247305/,761-800,"Responsive Web applications assume that they run on a single device at a time. Developers use CSS3 media queries to declare how the Web application user interface adapts to specific capabilities (e.g., screen size or resolution) of individual devices. As users own and use multiple devices across which they attempt to run the same Web application at the same time, we propose to extend CSS media queries so that developers can also use them to dynamically adapt so-called liquid Web applications as they are seamlessly deployed across multiple devices. In this paper we present the concept of liquid media queries. They support features to detect the number of connected devices, the number of users running the application, or the role played by each device during the application execution. The liquid media query types and features defined in this paper are designed for component-based Web applications, and they enable developers to control the deployment and dynamic migration and cloning of individual Web components across multiple browsers. Furthermore we present the design of how liquid media queries are implemented within the Liquid.js for Polymer framework and the corresponding distributed adaptation algorithms. We discuss the implications of multi-device adaptation from the perspective of the developers and also the users of a liquid Web application. Finally we showcase the expressiveness of the liquid media queries to support real-world examples and evaluate the algorithmic complexity of our approach."
