title,authors,affiliations,keywords,abstract,venue,year,track_or_issue_name,volume_number,issue,issue_name,pages,length,citations,url
Web Page Structured Content Detection Using Supervised Machine Learning,Roberto Panerai Velloso & Carina F. Dorneles,"Universidade Federal de Santa Catarina - UFSC, Florianopolis, SC, Brazil",Web mining; Content detection; Noise removal; Record extraction; Structure detection; Information retrieval,"In this paper we present a comparative study using several supervised machine learning techniques, including homogeneous and heterogeneous ensembles, to solve the problem of classifying content and noise in web pages. We specifically tackle the problem of detecting content in semi-structured data (e.g., e-commerce search results) under two different settings: a controlled environment with only structured content documents and; an open environment where the web page being processed may or may not have structured content. The features are automatically obtained from a preexisting and publicly available extraction technique that processes web pages as a sequence of tag paths, thus the features are extracted from these sequences instead of the DOM tree. Besides comparing the performance between different models we have also conducted extensive feature selection/combination experiments. We have achieved an average F-score of about 93% in a controlled setting and 91% in an open setting.",International Conference on Web Engineering,2019,,,,,Mar-18,2,6,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_1
Streaming Event Detection in Microblogs: Balancing Accuracy and Performance,Ozlem Ceren Sahin & Pinar Karagoz; Nesime Tatbul,"METU, Ankara, Turkey; Intel Labs and MIT, Cambridge, MA, USA",Online event detection; Burst detection; Stream processing; Data stream management; Microblogging,"In this work, we model the problem of online event detection in microblogs as a stateful stream processing problem and offer a novel solution that balances result accuracy and performance. Our new approach builds on two state of the art algorithms. The first algorithm is based on identifying bursty keywords inside blocks of blog messages. The second one involves clustering blog messages based on similarity of their contents. To combine the computational simplicity of the keyword-based algorithm with the semantic accuracy of the clustering-based algorithm, we propose a new hybrid algorithm. We then implement these algorithms in a streaming manner, on top of Apache Storm augmented with Apache Cassandra for state management. Experiments with a 12M tweet dataset from Twitter show that our hybrid approach provides a better accuracy-performance compromise than the previous approaches.",International Conference on Web Engineering,2019,,,,,123-138,2,6,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_10
Supervised Group Embedding for Rumor Detection in Social Media,"Yuwei Liu, Xingming Chen & Yanghui Rao; Haoran Xie; Qing Li; Jun Zhang; Yingchao Zhao; Fu Lee Wang","School of Data and Computer Science, Sun Yat-sen University, Guangzhou, China; Department of Mathematics and Information Technology, The Education University of Hong Kong, Tai Po, Hong Kong; School of Computing and Information Sciences, Caritas Institute of Higher Education, Tseung Kwan O, Hong Kong; School of Science and Technology, The Open University of Hong Kong, Kowloon, Hong Kong; School of Computer Science and Engineering, South China University of Technology, Guangzhou, China; Department of Computing, The Hong Kong Polytechnic University, Hung Hom, Kowloon, Hong Kong",Rumor detection; Social media; Convolutional Neural Network,"To detect rumors automatically in social media, methods based on recurrent neural network and convolutional neural network have been proposed. These methods split a stream of posts related to an event into several groups along time, and represent each group using unsupervised methods such as paragraph vector. However, many posts in a group (e.g., retweeted posts) do not contribute much to rumor detection, which deteriorates the performance of rumor detection based on unsupervised group embedding. In this paper, we propose a Supervised Group Embedding based Rumor Detection (SGERD) model that considers both textual and temporal information. Particularly, SGERD exploits post-level textual information to generate group embeddings, and is able to identify salient posts for further analysis. Experimental results on two real-world datasets demonstrate the effectiveness of our proposed model.",International Conference on Web Engineering,2019,,,,,139-153,2,4,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_11
Fast Incremental PageRank on Dynamic Networks,"Zexing Zhan, Ruimin Hu, Xiyue Gao & Nian Huai; Zexing Zhan, Ruimin Hu, Xiyue Gao & Nian Huai","Hubei Key Laboratory of Multimedia and Network Communication Engineering, Wuhan University, Wuhan, 430072, China; National Engineering Research Center for Multimedia Software, School of Computer Science, Wuhan University, Wuhan, 430072, China",PageRank tracking; Monte Carlo; Random walk; Incremental computing; Dynamic networks,"Real-world networks are very large and are constantly changing. Computing PageRank values for such dynamic networks is an important challenge in network science. In this paper, we propose an efficient Monte Carlo based algorithm for PageRank tracking on dynamic networks. A revisit probability model is also presented to provide theoretical support for our algorithm. For a graph with n nodes, the proposed algorithm maintains only nR random walk segments (R random walks starting from each node) in memory. The time cost to update PageRank scores for each graph modification is proportional to \(n/|\varvec{E}|\) (\(\varvec{E}\) is the edge set). Experiments on 5 real-world networks indicate that our algorithm is 1.3–30 times faster than state-of-the-art algorithms and does not accumulate any errors.",International Conference on Web Engineering,2019,,,,,154-168,2,16,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_12
Crowdsourced Time-Sync Video Recommendation via Semantic-Aware Neural Collaborative Filtering,"Zhanpeng Wu, Yan Zhou & Di Wu; Zhanpeng Wu, Yan Zhou & Di Wu; Yipeng Zhou; Jing Qin","School of Nursing, The Hong Kong Polytechnic University, Hong Kong, China; School of Data and Computer Science, Sun Yat-sen University, Guangzhou, 510006, China; Department of Computing, Faculty of Science and Engineering, Macquarie University, Sydney, NSW, 2109, Australia; Guangdong Key Laboratory of Big Data Analysis and Processing, Guangzhou, 510006, China",Recommender system; Time-synchronized comment; Collaborative filtering,"As an emerging type of video comments, time-sync comments (TSCs) enable viewers to make comments on video shots in a real-time manner. Such comments well reflect user interests in the frame level, which can be utilized to further improve the accuracy of video recommendation. In this paper, we make the first attempt in this direction and propose a new video recommendation algorithm called SACF by exploiting temporal relationship between time-sync comments and video frames. Our algorithm can extract a rich set of semantic features from crowdsourced time-sync comments, and combine latent semantic representations of users and videos by neural collaborative filtering. We conduct extensive experiments using real TSC datasets, and our results show that our proposed algorithm can improve the recommendation performance by 9.73% in HR@10 and 5.72% in NDCG@10 compared with other baseline solutions.",International Conference on Web Engineering,2019,,,,,171-186,2,4,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_13
On Twitter Bots Behaving Badly: Empirical Study of Code Patterns on GitHub,Andrea Millimaggi & Florian Daniel,"Politecnico di Milano, Via Ponzio 34/5, 20133, Milan, Italy",Bots; Harm; Abuse; Code patterns; GitHub; Twitter,"Bots, i.e., algorithmically driven entities that behave like humans in online communications, are increasingly infiltrating social conversations on the Web. If not properly prevented, this presence of bots may cause harm to the humans they interact with. This paper aims to understand which types of abuse may lead to harm and whether these can be considered intentional or not. We manually review a dataset of 60 Twitter bot code repositories on GitHub, derive a set of potentially abusive actions, characterize them using a taxonomy of abstract code patterns, and assess the potential abusiveness of the patterns. The study does not only reveal the existence of 31 communication-specific code patterns – which could be used to assess the harmfulness of bot code – but also their presence throughout all studied repositories.",International Conference on Web Engineering,2019,,,,,187-202,2,6,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_14
CrowDIY: How to Design and Adapt Collaborative Crowdsourcing Workflows Under Budget Constraints,"Rong Chen, Bo Li, Hu Xing & Yijing Wang","Dalian Maritime University, Dalian, 116026, China",Crowdsourcing workflow; Workflow design and plan; Task publishing; Optimization,"Workflow quality is a key determinant of crowdsourcing complex work, but finding ways to task design and plan has proved illusive. Instead, we formulate it as an optimization problem with budget constraints and fewer decision variables to set. We propose a two-staged approach CrowDIY that can not only estimate task attributes based on previous tasks but also optimize them with budget constraints in order to publish tasks more wisely in a timely manner. Several experimental studies have been conducted, and the results show compelling evidence that, under different conditions, the proposed approach can effectively reduce the workload of workflow design and plan, while avoiding commonly encountered trial-and-error in crowdsourcing workflows and leading up to successful complex outcomes.",International Conference on Web Engineering,2019,,,,,203-210,2,2,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_15
Finding Baby Mothers on Twitter,Yihong Zhang & Adam Jatowt; Yukiko Kawai,"Kyoto Sangyo University, Kyoto, Japan; Kyoto University, Kyoto, Japan",Twitter; Social media analysis; User discovery,"In this paper, we study the task of detecting mothers of babies on Twitter. This could be beneficial for baby mother users to find friends, and for companies, organizations or experts to deliver accurately targeted information. Prior works have proposed supervised classification methods to detect generic latent attributes of Twitter users such as age, gender, and political orientation. However, methods and features for classifying generic attributes do not perform well for more specific attributes, such as whether a user is a mother of a young baby. We design feature sets based on followed accounts and profile pictures, which are largely overlooked in existing work. Comparing to three established feature sets, the experimental evaluation shows that our specifically-designed feature sets considerably improve classification accuracy.",International Conference on Web Engineering,2019,,,,,211-219,2,1,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_16
An End-User Pipeline for Scraping and Visualizing Semi-Structured Data over the Web,"Gabriela Bosetti, Sergio Firmenich, Gustavo Rossi & Ulises Cornejo Fandos; Sergio Firmenich & Gustavo Rossi; Marco Winckler; Előd Egyed-Zsigmond","i3S, Université Nice Sophia Antipolis, 2000, route des Lucioles, bât. Euclide B, BP 121, Sophia Antipolis, France; LIFIA, Facultad de Informática, UNLP, 50th St. and 120th St., La Plata, Argentina; Université de Lyon, LIRIS, INSA-Lyon, 7 Av. Jean Capelle, Villeurbanne, France; CONICET, Buenos Aires, Argentina",Infovis; Web augmentation; Web Scraping,"The Web is a vast source of semi-structured datasets that are made readily available to support the construction of new knowledge. Information visualization techniques have been demonstrated as a suitable alternative for allowing users to analyze and understand a large amount of data. However, the steps required for visualizing semi-structured data obtained from the Web is not straightforward, and it requires proper treatment before information visualization techniques could be applied. In this work, we present a visualization pipeline for describing the fundamental operations required for visualizing semi-structured data over the Web. We employ Web Scraping and Web Augmentation techniques for supporting interactive visualizations and solving tasks without changing the context of use of the data. Our approach is duly supported by a framework including scraping-, augmenting- and visualization-tools and it has been applied to different kinds of websites to demonstrate its validity and feasibility. Our ultimate goal is to expand the limits of our technology for improving the user interaction with websites and creating new experiences for a better understanding of large datasets.",International Conference on Web Engineering,2019,,,,,223-237,2,4,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_17
DotCHA: A 3D Text-Based Scatter-Type CAPTCHA,Suzi Kim & Sunghee Choi,"School of Computing, Korea Advanced Institute of Science and Technology, Daejeon, Republic of Korea",CAPTCHA; 3D CAPTCHA; Text-based CAPTCHA; 3D typography; Mental rotation; Security; Usability,"We introduce a new type of 3D text-based CAPTCHA, called DotCHA, which relies on human interaction. DotCHA asks users to rotate a 3D text model to identify the correct letters. The 3D text model is a twisted form of sequential 3D letters around a center pivot axis, and it shows different letters depending on the rotation angle. The model is not composed of a solid letter model, but a number of spheres to resist character segmentation attacks, and this is why DotCHA is classified as a scatter-type CAPTCHA. DotCHA is tolerant to machine learning attacks because each letter is only identified in each particular direction. We demonstrate that DotCHA, while maintaining usability, is resistant to existing types of attacks.",International Conference on Web Engineering,2019,,,,,238-252,2,18,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_18
