Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
12,"J. Liu","Enhancing English Language Education Through Big Data Analytics and Generative AI",2024,"Journal of Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85192975511&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85192975511&origin=inward",1,"2025-06-19 10:20:00","Article","10.13052/jwe1540-9589.2322","1540-9589","https://api.elsevier.com/content/abstract/scopus_id/85192975511",23,2,227,250,12,12.00,12,1,1,"","",""
11,"W. Lo","Increased Productivity and Reduced Waste with Robotic Process Automation and Generative AI-powered IoE Services",2024,"Journal of Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85189701793&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85189701793&origin=inward",2,"2025-06-19 10:20:00","Article","10.13052/jwe1540-9589.2313","1540-9589","https://api.elsevier.com/content/abstract/scopus_id/85189701793",23,1,53,88,11,11.00,11,1,1,"","",""
8,"S. Liu","Manufacturing Process Optimization in the Process Industry",2024,"International Journal of Information Technology and Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85186518213&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85186518213&origin=inward",3,"2025-06-19 10:20:00","Article","10.4018/IJITWE.338998","1554-1045","https://api.elsevier.com/content/abstract/scopus_id/85186518213",19,1,,,8,8.00,8,1,1,"","",""
7,"Y. Zhang","Transformative Technologies in the Evaluation of a Vocational Education System",2024,"Journal of Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85193020462&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85193020462&origin=inward",4,"2025-06-19 10:20:00","Article","10.13052/jwe1540-9589.2324","1540-9589","https://api.elsevier.com/content/abstract/scopus_id/85193020462",23,2,275,298,7,7.00,7,1,1,"","",""
4,"L. Sun","Multimedia Human-Computer Interaction Method in Video Animation Based on Artificial Intelligence Technology",2024,"International Journal of Information Technology and Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85195450376&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85195450376&origin=inward",5,"2025-06-19 10:20:00","Article","10.4018/IJITWE.344419","1554-1045","https://api.elsevier.com/content/abstract/scopus_id/85195450376",19,1,,,4,4.00,4,1,1,"","",""
4,"Y. Shang","Music Curriculum Research Using a Large Language Model, Cloud Computing and Data Mining Technologies",2024,"Journal of Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85192749260&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85192749260&origin=inward",6,"2025-06-19 10:20:00","Article","10.13052/JWE1540-9589.2323","1540-9589","https://api.elsevier.com/content/abstract/scopus_id/85192749260",23,2,251,274,4,4.00,4,1,1,"","",""
3,"S. Liu","Supplier Evaluation in Supply Chain Environment Based on Radial Basis Function Neural Network",2024,"International Journal of Information Technology and Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85187962830&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85187962830&origin=inward",7,"2025-06-19 10:20:00","Article","10.4018/IJITWE.339186","1554-1045","https://api.elsevier.com/content/abstract/scopus_id/85187962830",19,1,,,3,3.00,3,1,1,"","",""
3,"G. Yongli","Leveraging the Synergy of IPv6, Generative AI, and Web Engineering to Create a Big Data-driven Education Platform",2024,"Journal of Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85192967392&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85192967392&origin=inward",8,"2025-06-19 10:20:00","Article","10.13052/JWE1540-9589.2321","1540-9589","https://api.elsevier.com/content/abstract/scopus_id/85192967392",23,2,197,226,3,3.00,3,1,1,"","",""
3,"A. Kamal","Contextualized Satire Detection in Short Texts Using Deep Learning Techniques",2024,"Journal of Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85190293207&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85190293207&origin=inward",9,"2025-06-19 10:20:00","Article","10.13052/jwe1540-9589.2312","1540-9589","https://api.elsevier.com/content/abstract/scopus_id/85190293207",23,1,27,52,3,3.00,3,1,1,"","",""
2,"Y. Aifen","GA-BP Optimization Using Hybrid Machine Learning Algorithm for Thermopile Temperature Compensation",2024,"International Journal of Information Technology and Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85185157157&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85185157157&origin=inward",10,"2025-06-19 10:20:00","Article","10.4018/IJITWE.337491","1554-1045","https://api.elsevier.com/content/abstract/scopus_id/85185157157",19,1,,,2,2.00,2,1,1,"","",""
2,"N. Li","Emotional Behavior Analysis of Music Course Evaluation Based on Online Comment Mining",2024,"International Journal of Information Technology and Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85183450372&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85183450372&origin=inward",11,"2025-06-19 10:20:00","Article","10.4018/IJITWE.336287","1554-1045","https://api.elsevier.com/content/abstract/scopus_id/85183450372",19,1,,,2,2.00,2,1,1,"","",""
2,"L. Zhao","An Intelligent Web-based Energy Management System for Distributed Energy Resources Integration and Optimization",2024,"Journal of Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85189810973&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85189810973&origin=inward",12,"2025-06-19 10:20:00","Article","10.13052/jwe1540-9589.2316","1540-9589","https://api.elsevier.com/content/abstract/scopus_id/85189810973",23,1,165,196,2,2.00,2,1,1,"","",""
2,"S. Serbout","How Are Web APIs Versioned in Practice? A Large-Scale Empirical Study",2024,"Journal of Web Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85207924493&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85207924493&origin=inward",13,"2025-06-19 10:20:00","Article","10.13052/jwe1540-9589.2341","1540-9589","https://api.elsevier.com/content/abstract/scopus_id/85207924493",23,4,465,506,2,2.00,2,1,1,"","",""
